Noms,Liens
"Jean-Jacques, César, Eugène, Michel Alicot",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/85
"François, Henri, René Allain-Targé",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7892
Nelzir Allard,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8509
"Maurice, Edouard, Eugène Allard",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/88
"Vincent, Gaëtan Allègre",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8519
Pierre Allemand,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/90
Jean Allemane,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/92
"Gaston, Jean, Bertrand Allemane",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/91
Jean-Marie Allenou,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/93
Francisque Allombert,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/98
"Léon, Charles Alphonse-Rivière",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/6004
"Arthur, Charles Alquier",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/9559
"Thierry, Arno, Laurent, Baudouin d'Alsace d'Hénin",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/103
"Charles, Émile Altorffer",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/104
Louis Alype dit Pierre-Alype,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/5919
"Louis, Amans Amagat",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/105
Jean-Baptiste Amat,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/107
Henri Amat,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/106
Toussaint Ambrosini,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/108
Olivier-François Ameline,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/110
Camille Amet,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/111
"Louis, Eugène Amiard",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/112
"Pierre, Antoine, Marie Amidieu du Clos",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/113
"Jules, Emile, Michel, Laurent Amigues",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8447
"Henri, Urbain Amiot",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/114
Laurent Amodru,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/116
Charles Amouroux,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8157
"Vincent, Charles, Cyr Amy",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/117
"Jules, Daniel, Edouard Ancel",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/118
"Georges, Pierre, Daniel Ancel",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/119
"Albert, Daniel Ancel",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8179
Prosper Ancel-Seitz,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/120
"Etienne, Auguste Ancelon",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/121
"Jules, Jean, François Jacquot Rouhier d'Andelarre",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/124
"Geoffroy, Charles, François, Marie, d'Andigné",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/126
"Fortuné, Marie, Pierre d'Andigné",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/125
"Henry, Francisque, Bernard, Joseph Andraud",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/127
"Jules, Jean-François, Raoul André",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8084
"Joseph, Prosper André",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/133
"Jean, François, Gustave André",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/130
"Edouard, François André",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/9356
"Alfred, Louis, Edouard André",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/129
"Adrien, Baptiste, Honoré André",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/128
"Georges, André, Alexandre André-Fribourg",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/135
"André, Olry André-Hesse",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/136
Joseph Andrieu,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/17631
"Edouard, Casimir, Aimé Andrieu",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/137
Louis Andrieux,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/139
Clément Anglade,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/146
"Raoul, Adolphe, Elie Anglès",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/147
"Gabriel, Louis Angoulvant",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/149
"Roger, Léon Anisson-Duperron",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/150
"Paul, Félix, Cyprien Anquetil",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/152
"Edmond, Charles, Philippe Ansart Rault du Fiesnet",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8210
Louis Antériou,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/157
"Anthime, Pierre, Louis Ménard dit Anthime-Ménard",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/158
"Jean, Augustin, Adolphe Anthoard",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8383
"Paul, Alphonse Antier",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/161
Joseph Antier,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/160
"Georges, Nicolas Antoine",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/162
"Etienne, César Antonelli",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/163
"Pierre, Hubert, Alexandre, Henri Appell",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/167
"Jules, Antoine, Cyr, Joseph Appourchaux",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/168
"François, Pierre, Jean Arago",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/169
"Etienne, Vincent Arago",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8542
"Emmanuel, François, Victor Arago",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/170
"Bertrand, Marie, Joseph de Sauvan d'Aramon",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/172
"Pierre, Marie, Lucien Arbel",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/175
"Antoine, Jean Arbel",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/174
"René, Albert Arbeltier",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/176
"Gaston, Eugène Arbouin",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/178
"Augustin, Pierre, Edouard Archambeaud",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/180
"Edmond, Sébastien Archdeacon",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/181
"François, Joseph Archer",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/182
"Léon, Daniel, Josué Archimbaud",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/185
"Daniel, Léon Archimbaud",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/184
"Auguste, Louis, Albéric d'Arenberg",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/187
Emmanuel Arène,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/188
Achille d'Arfeuillères,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/189
"Jean-Baptiste, Justin, Joseph Argeliès",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/190
"Désiré, Jean-Baptiste, Prosper Argence",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/9955
"Pierre, Gaston, Marie, Marc, de Voyer d'Argenson",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/192
"Paul, Eugène, Augustin Dariste dit d'Ariste",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7893
"Félix, Jean, François, Thomas d'Arjuzon",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/9117
Ernest Armand,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/193
Louis Armez,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/195
Pierre-Marc Arnal,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/197
Frédéric Arnaud de l'Ariège,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8543
"Ferdinand, Louis, Barthélemy Arnault",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/201
"Justin, Clément Arnol",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/202
"Marcel, Ernest, Jean, Marie Arnould",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/203
Georges Arnoult,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8128
"Marie,Gustave, Louis, Eugène Arnous",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/205
"Frédéric, Charles d'Arras",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8448
Eugène Arrazat,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/208
"Pierre, Adolphe, Charles Arribat",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/211
Adrien Artaud,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/213
"Placide, Alexandre Astier",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/222
"Marcel, Français Astier",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/221
"François, Hippolyte Astier",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/220
Ange-Gaétan Astima,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/224
"Raoul, François, Régis Aubaud",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/228
"Joseph, Pierre, Jules Auber",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/229
Louis d'Auberjon,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8544
"Louis, Félix, Hippolyte Aubert",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/232
"Alain, Albert Leret d'Aubigny",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/236
"Jules, Paul Aubriot",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/238
"Maurice, Claude Aubry",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/243
"Charles, Albert Aubry",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/241
"Albert, Jules, Marie Aubry",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/240
Siméon Aucouturier,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/248
"Jean, Fernand Audeguil",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/249
Jean-Honoré Audiffred,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/251
"Etienne, Denis, Augustin, Marie, Gaston d'Audiffret-Pasquier",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/253
"Edme, Armand, Gaston d'Audiffret-Pasquier",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/252
"Georges, Pierre Audiguier",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/254
"Vincent, Paul, Marie, Casimir Audren de Kerdrel",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/257
"Jules, Augustin Auffray",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/260
"François, Marie Auffray",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/259
"Charles, Adrien Auffray",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/258
"Victor, Jean Augagneur",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/261
"Justin, Auguste Augé",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/267
Joanny Augé,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/266
"Fernand, Isidore, Amédée Augé",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/265
Ferdinand Augé,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/264
"Bernard, Louis Augé",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/263
"François, Auguste Augère",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/17848
"Pierre, François Aujame",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/270
"Marie-François, Guénin Harouart de Suarès d'Aulan",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/272
"Marie, Jean, Arthur Harouart de Suarès d'Aulan",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8343
"Félix, Pierre, Théodore Aulois",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/273
"Henri, Eugène, Philippe d'Orléans Duc d'Aumale",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/274
"Charles, Georges Auray",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/278
"Louis, Jean, Baptiste Aurelle de Paladines",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/279
Noël Auricoste,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/280
"Joseph, Léon, Samuel, dit Louis Aurin",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/283
"Vincent, Jules Auriol",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/285
"Henri, Jean, Marie, André Auriol",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/284
François Aussoleil,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/288
"Victor, Ferréol Authier",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/291
"Jean, Joseph Autrand",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/292
"Louis, Jean-Baptiste Auvray",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/9530
"Jules, Charles, François d'Auxais",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/293
"Joseph, Louis Aveline",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/294
"Félix, Alexandre Avez",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/295
"Henri, Pierre, Marie Avril",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/298
"Jacques, Auguste, Martin d'Ayguesvives",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8358
"Séverin, Rémond, André Aylies",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/9516
"Jean, Marie, Charles Aymé de la Chevrelière",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/302
"Emile, Louis, Marie Aymé de la Chevrelière",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/301
"Albin, Paul, Alexandre Aymé-Martin",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/304
Edouard Aynard,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/305
Louis Azémar,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/308
"Antoine, Pierre, Alfred, François Babaud-Lacroze",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/310
"Louis, Mathurin Babin-Chevaye",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/312
"Henri, Jean, Aimé Baboin",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/9522
François Bachimont,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/317
Paul Bacquet,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/322
Eugène Bacquias,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8071
"Vincent, Henri Badie",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/324
Ferdinand Baduel,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/326
"Léon, Marie, Joseph Baduel d'Oustrac",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/327
"Pierre, Adalbert, Marie-Guilhem de Frottier de Bagneux",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/331
"Louis, Charles, Alfred de Frottier de Bagneux",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/332
"Henry, Marius Bagnol",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/333
"André, Louis, Joseph Bahier",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/335
Charles Baïhaut,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/337
"Martial, François, Germain Baile",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/338
Victor Balanant,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/342
"Marc, François, Eugène Balandreau",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/344
Joseph Balesi,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/346
"André, Paul, Lucien Balitrand",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/348
"André, Antoine, Marie, Pierre Ballande",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/351
"Albert, Félix, Justin, Pierre de la Cour de Balleroy",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8476
"Guillaume, Marie Ballu",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/354
"Arthur, Auguste, Eléonor Ballue",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7894
Charles Balsan,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/358
"Auguste, Jean, Jacques, Martin Balsan",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/357
"Claude, Stanislas Baltet",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/359
"Edouard, Adrien Bamberger",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/361
"Désiré, Jean-Baptiste, François Bancel",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/9548
"Alfred, Alexandre Bansard des Bois",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/362
"Martial, Fernand, Paul Bar",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/366
"Raymond, Antoine de Bar",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/367
"Henri, Joseph Barabant",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/368
René Baradé,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/369
"Pierre, Joseph, Louis, Numa Baragnon",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/370
"Prosper, Claude, Ignace, Constance Brugière de Barante",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/374
"Raymond, Henri Baranton",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/375
"Antoine, Hippolythe Barascud",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/376
Charles de Barbançois,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/379
"Jean, Joseph, Antoine Barbaroux",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8477
"Léon, Jean-Baptiste Barbé",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/382
"François, Paul Barbé",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/381
"Genès, Emile, dit Félix Barbecot",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/383
"Pierre, Léandre, Hippolyte Barbedette",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8086
Julien Barbero,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/385
"Jean, Joseph, Marie Barbier",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/390
"André, Marie, Alfred Barbier",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/388
"Henri, Eugène Barbin",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/391
Alphonse Barbot,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/392
"René, François, Julien, Barbotin",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/394
"Félicien, Jacques, Augustin Barcilon",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/8523
"Pierre, Paul Bardon",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/19497
"André, Paul Bardon",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/401
"Emmerand, Prosper, Marie, Joseph Bardoul",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/402
"Agénor, Benjamin, Joseph Bardoux",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/403
Joseph dit Virgile Barel,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/405
"Charles, Joseph, Gabriel Barès",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/407
"Léon, Jean, Jacques Baréty",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/409
"Nicolas, Julien, dit Amédée Bargy",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/410
"Robert, Joseph, André Barillet",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/414
"Georges, Amédée Barillet",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/413
"Jules, Romain Barni",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/417
"Désiré, Jean Barodet",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/420
Jules Baron,https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/425
"Gabriel, Charles, Esprit Baron",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/424
"Ernest, Alexandre, Etienne Baron",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/423
"Charles, Victorin, Apollon, Marie, Eugène Baron",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/422
"Denis, François, Alfred Barouille",https://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7895
